"","Age","Gender","Kids","Edu","WorkStatus","AnnualIncome","Occupation","DurationYear","DurationMon","CommSize","ResidntCntry","MaritlStatus","NoOfSons","NoOfDghtrs","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfProcast","OtherProcast","DPMean","AIPMean","GPMean","SWLSMean"
"2516",22,"Male","No Kids","deg","student",15000,"Graduate Assistant",0,8,"Medium-Sized","United States","Single","0",0,5,5,4,5,5,5,1,2,5,5,5,5,5,5,5,4,5,4,2,5,5,5,5,4,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.8,4.2,4.8,1
"2517",37.5,"Male","No Kids","phd","full-time",67500,"Professor",3,11,"Large-City","United States","Single","0",0,3,3,3,2,2,2,2,4,3,3,2,4,4,3,3,3,2,4,3,4,4,2,3,4,4,3,3,3,3,2,3,3,4,4,4,4,4,4,4,4,1,2,2,2,1,"yes","yes",2.6,3.06666666666667,3.45,1.6
"2521",55,"Male","No Kids","deg","full-time",87500,"Financial Consultant",5,0,"Large-City","United States","Married","0",0,4,4,4,3,3,1,1,5,2,3,3,3,4,3,4,1,1,2,1,3,3,1,1,2,2,3,3,4,4,1,2,4,1,3,4,4,3,5,3,4,3,3,3,3,2,"yes","yes",3.6,2.46666666666667,2.85,2.8
"2522",67.5,"Male","No Kids","ma","part-time",45000,"Press Officer",9,0,"Medium-Sized","United States","","0",0,2,3,1,1,1,1,1,5,2,2,1,2,3,1,1,1,1,4,1,1,4,1,1,1,5,2,4,2,4,1,1,4,3,2,4,2,2,2,4,4,4,4,4,4,4,"yes","no",1.6,1.8,2.65,4
"2523",32.5,"Female","Yes Kids","ltuni","unemployed",45000,"Clinical Trial Assistant",4,0,"Medium-Sized","United States","Divorced","0",0,3,4,2,3,3,2,2,2,4,2,2,1,2,2,3,1,3,2,3,5,3,1,2,2,3,2,3,2,3,2,2,3,1,2,3,2,2,2,4,3,2,2,4,4,2,"yes","yes",3,2.4,2.35,2.8
"2524",45,"Male","No Kids","ma","unemployed",55000,"Unemployed",0,6,"Large Town","United States","Single","0",0,2,4,4,4,4,2,2,5,2,4,1,3,3,4,3,5,3,4,2,5,4,5,5,3,4,4,5,3,5,4,3,5,3,5,4,5,4,4,4,4,3,4,4,4,5,"yes","yes",3.6,3.2,4.15,4
"2525",45,"Male","Yes Kids","deg","full-time",87500,"Computer Systems Analyst",17,0,"Medium-Sized","United States","Married","0",0,3,3,2,2,2,1,1,3,3,2,3,4,3,2,3,3,3,3,2,3,3,2,4,5,2,2,3,3,4,3,2,3,3,3,4,4,4,3,2,4,3,3,3,4,4,"yes","yes",2.4,2.6,3.15,3.4
"2526",45,"Male","Yes Kids","phd","full-time",55000,"IT Consultant",1,2,"Small Town","United States","Married","1",3,3,3,4,4,4,5,5,5,5,4,3,5,4,4,4,5,5,5,3,5,5,4,4,4,4,3,3,4,4,3,4,4,5,3,4,5,4,4,4,4,2,2,2,1,1,"yes","yes",3.6,4.46666666666667,3.95,1.6
"2527",45,"Female","Yes Kids","deg","full-time",150000,"engineer",28,0,"Medium-Sized","United States","Married","0",1,3,3,4,3,3,1,1,1,4,3,2,3,2,2,3,2,3,2,2,3,3,1,2,3,3,3,3,4,4,1,4,4,1,1,3,3,3,2,2,2,3,3,4,4,3,"yes","no",3.2,2.26666666666667,2.6,3.4
"2528",55,"Male","Yes Kids","deg","full-time",150000,"Executive Vice President / Senior Lender",2,4,"Small Town","United States","Married","1",1,3,3,2,2,2,2,2,5,2,2,2,2,3,3,3,2,2,3,2,4,4,3,2,2,3,3,3,2,3,2,4,4,4,4,3,3,3,3,3,2,3,2,3,4,2,"yes","no",2.4,2.6,3,2.8
"2529",45,"Female","Yes Kids","phd","part-time",35000,"Attorney",13,0,"Medium-Sized","United States","Married","1",1,5,5,4,4,4,2,3,5,5,3,3,5,4,3,5,3,4,4,3,3,1,3,5,4,5,2,4,4,4,3,3,3,2,4,4,3,4,4,4,4,1,1,2,1,1,"yes","yes",4.4,3.66666666666667,3.5,1.2
"2530",25,"Female","No Kids","ma","full-time",35000," Communications",0,1,"Large-City","United States","Single","0",0,3,2,3,3,4,1,3,3,4,3,2,3,3,2,3,2,4,4,4,3,3,2,2,4,2,3,2,3,2,2,4,3,3,2,3,4,3,3,4,4,3,3,3,3,3,"yes","yes",3,2.93333333333333,2.9,3
"2531",55,"Male","Yes Kids","ma","full-time",150000,"Software Engineer",23,4,"Small City","United States","Married","0",2,2,3,4,3,3,1,1,5,3,2,1,2,3,4,2,5,3,3,2,3,3,1,2,5,1,5,2,4,2,2,3,2,5,4,3,2,3,3,2,3,2,2,2,4,2,"no","no",3,2.66666666666667,2.85,2.4
"2532",25,"Female","No Kids","ma","unemployed",15000," houswife",1,0,"Small Town","United States","Married","0",0,2,3,2,1,1,1,3,3,3,2,1,1,2,1,2,2,3,3,4,2,2,1,3,2,3,2,2,3,2,2,4,3,2,3,2,1,1,3,2,1,4,4,4,5,5,"no","no",1.8,2.2,2.2,4.4
"2533",55,"Male","No Kids","deg","full-time",87500,"IT Consultant",0,8,"Large Town","United States","Divorced","0",0,3,2,2,1,1,1,1,5,3,2,1,1,4,1,3,2,1,2,1,1,3,2,2,4,1,2,2,3,3,1,2,3,1,2,3,2,3,3,3,3,3,3,4,3,3,"yes","no",1.8,1.93333333333333,2.4,3.2
"2534",28,"Female","No Kids","ltuni","full-time",25000,"Supervisor",0,6,"Medium-Sized","United States","Single","0",0,5,5,5,4,4,2,1,5,1,1,1,4,2,4,4,4,2,2,1,2,5,1,5,5,1,5,1,5,1,1,3,5,5,5,4,5,5,4,5,4,1,3,4,3,1,"yes","no",4.6,2.4,3.75,2.4
"2535",32.5,"Female","No Kids","ma","full-time",55000,"Director of Academic Affairs",2,6,"Large-City","United States","Single","0",0,1,1,1,1,1,3,3,5,4,1,4,1,4,1,3,5,4,2,5,4,2,1,1,5,4,2,3,2,4,2,3,3,4,1,4,4,3,2,1,5,4,4,5,5,3,"yes","yes",1,3.26666666666667,2.8,4.2
"2538",28,"Female","No Kids","deg","full-time",45000,"Journalist",2,2,"Small City","United States","Single","0",0,5,4,4,4,4,3,5,3,4,5,5,5,5,5,5,3,3,4,4,5,5,4,4,5,3,4,5,3,5,5,4,5,2,3,5,5,5,5,5,5,2,3,2,2,1,"yes","yes",4.2,4.26666666666667,4.35,2
"2540",55,"Male","Yes Kids","phd","full-time",250000,"Doctor; Physician",17,0,"Large-City","United States","Married","0",2,3,3,3,2,2,1,1,3,2,3,2,3,3,2,2,5,2,1,1,3,3,2,2,1,3,3,2,3,3,2,3,3,1,3,3,4,3,3,3,3,2,2,2,2,2,"yes","yes",2.6,2.26666666666667,2.65,2
"2541",24,"Male","No Kids","deg","full-time",67500,"Attorney",0,2,"Small City","United States","Married","0",0,4,5,4,5,4,3,2,4,1,5,5,2,5,4,4,4,3,4,2,5,5,2,3,3,3,2,5,3,5,2,4,5,2,3,5,4,3,5,5,4,4,4,4,4,4,"yes","yes",4.4,3.53333333333333,3.65,4
"2542",55,"Female","Yes Kids","high","full-time",35000,"Graphic Designer",9,3,"Medium-Sized","United States","Divorced","1",1,4,3,5,3,3,1,1,4,2,2,1,2,2,1,3,2,2,2,2,2,3,2,3,2,1,2,3,3,3,2,2,2,2,4,2,4,2,2,3,3,3,2,2,3,3,"yes","yes",3.6,1.93333333333333,2.5,2.6
"2544",55,"Female","Yes Kids","deg","full-time",67500,"Nurse",1,7,"Large Town","United States","Divorced","0",1,2,4,2,3,3,4,4,5,4,4,3,5,5,4,5,3,4,4,4,5,5,3,4,2,5,5,5,3,5,5,5,5,5,4,4,2,2,3,5,5,3,4,4,5,5,"yes","yes",2.8,4.2,4.1,4.2
"2546",37.5,"Female","No Kids","phd","full-time",67500,"IT Consultant",10,0,"Large-City","United States","Divorced","0",0,5,5,5,2,2,2,2,2,4,4,3,3,3,2,4,3,4,4,4,3,4,2,4,5,2,3,3,4,2,4,4,3,4,3,3,4,3,4,3,3,4,4,5,5,4,"yes","no",3.8,3.13333333333333,3.35,4.4
"2547",21,"Female","No Kids","deg","student",10000,"Teacher assistant",2,0,"Large-City","United States","Single","0",0,3,2,3,2,2,2,2,5,5,1,3,2,4,2,3,4,5,3,4,4,2,1,2,5,5,4,2,3,1,2,4,1,2,5,3,3,3,1,2,1,3,4,5,5,5,"no","no",2.4,3.26666666666667,2.6,4.4
"2548",32.5,"Female","No Kids","phd","full-time",67500,"engineer",1,0,"Small City","United States","Married","0",0,4,2,2,1,1,2,2,4,2,2,2,1,3,2,3,3,4,4,2,3,3,3,2,5,4,4,4,3,3,3,4,4,4,5,4,4,4,4,4,5,4,5,4,4,5,"yes","no",2,2.6,3.8,4.4
"2549",28,"Female","No Kids","phd","full-time",35000,"Research Scientist",0,1,"Small City","United States","Married","0",0,3,3,2,1,1,1,1,2,2,2,2,3,3,1,4,2,1,1,1,2,4,3,2,4,2,2,3,4,4,3,2,5,1,2,3,3,3,4,4,4,3,4,3,4,4,"yes","yes",2,1.86666666666667,3.1,3.6
"2550",37.5,"Female","No Kids","ma","full-time",87500,"Librarian",2,0,"Large-City","United States","Married","0",0,2,3,3,2,2,1,1,1,2,1,2,1,1,1,2,2,1,3,2,1,2,1,1,2,2,2,1,2,1,1,4,1,1,1,1,3,1,1,2,1,3,3,4,4,3,"no","no",2.4,1.46666666666667,1.55,3.4
"2551",28,"Female","No Kids","ma","full-time",150000,"Project Manager",0,9,"Medium-Sized","United States","Single","0",0,3,2,3,1,1,2,2,4,2,2,2,2,4,2,2,2,2,4,2,2,4,2,4,4,2,2,5,3,5,2,4,4,4,4,3,4,4,3,3,5,3,3,3,4,4,"yes","yes",2,2.4,3.55,3.4
"2552",45,"Female","No Kids","deg","full-time",25000,"Lab Director/Archeologist",6,0,"Large-City","United States","Married","0",0,5,4,3,3,1,1,1,2,3,4,3,2,4,4,4,3,2,3,2,3,2,1,1,3,1,1,4,2,4,3,3,4,1,2,4,5,3,2,3,2,4,4,4,4,4,"yes","no",3.2,2.73333333333333,2.55,4
"2553",28,"Female","No Kids","ma","full-time",25000,"Temp",0,1,"Large-City","United States","Single","0",0,4,1,4,4,4,1,2,1,4,4,3,4,5,3,4,2,4,3,2,2,3,1,1,5,2,2,3,4,4,3,4,4,1,3,5,3,3,4,3,3,3,4,2,3,2,"yes","yes",3.4,2.93333333333333,3.05,2.8
"2554",23,"Female","Yes Kids","ltuni","full-time",67500,"Production Operations Support Analyst",1,0,"Large Town","United States","Single","0",1,2,1,2,1,1,1,1,3,3,1,4,3,2,2,2,1,2,1,3,2,3,1,1,2,2,1,2,2,3,3,3,3,1,2,1,2,2,2,2,2,3,3,3,3,3,"yes","no",1.4,2.06666666666667,2,3
"2556",23,"Female","No Kids","ltuni","part-time",10000,"Educator/Student",2,6,"Large Town","United States","Single","0",0,3,3,1,1,1,1,3,4,4,4,1,2,5,4,5,1,4,3,4,3,5,1,3,4,2,3,3,2,4,5,5,4,3,3,5,3,3,5,2,3,3,4,3,4,3,"yes","yes",1.8,3.2,3.4,3.4
"2558",32.5,"Female","No Kids","ma","full-time",35000,"Teacher",3,6,"Medium-Sized","United States","Divorced","0",0,1,1,1,1,1,2,2,5,4,1,1,1,3,1,2,2,3,3,1,3,3,1,1,1,2,2,1,1,1,2,2,3,3,2,4,5,3,1,1,5,5,5,5,5,4,"yes","no",1,2.26666666666667,2.2,4.8
"2560",67.5,"Female","Yes Kids","deg","part-time",25000,"Business",23,0,"Small Town","United States","Divorced","3",0,3,3,4,4,4,3,1,3,2,3,3,1,3,3,4,5,2,3,1,3,3,2,3,2,2,2,3,4,4,1,4,3,4,5,4,5,4,4,5,4,4,2,3,4,4,"yes","yes",3.6,2.66666666666667,3.4,3.4
"2561",55,"Male","Yes Kids","phd","full-time",150000,"Attorney",28,0,"Medium-Sized","United States","Married","4",0,4,3,2,2,2,1,1,5,2,3,2,3,3,3,3,2,2,3,2,3,2,1,2,3,2,2,2,2,4,2,2,3,4,4,4,3,2,3,3,4,4,4,4,4,4,"yes","no",2.6,2.53333333333333,2.7,4
"2562",28,"Female","No Kids","ma","full-time",35000,"Librarian",2,0,"Medium-Sized","United States","Married","0",0,3,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,4,2,2,2,3,2,2,2,3,1,2,2,3,2,2,2,1,3,2,3,1,2,"no","no",2.2,1.6,2.15,2.2
"2563",37.5,"Female","No Kids","ma","student",10000,"Student and Administrative Assistant",0,3,"Large-City","United States","Married","0",0,3,3,1,1,1,1,1,2,2,3,2,2,2,2,2,4,3,3,1,3,4,2,2,4,4,2,2,1,3,2,5,4,1,2,3,4,4,3,5,3,4,4,4,3,3,"yes","yes",1.8,2.2,3,3.6
"2564",55,"Female","No Kids","dip","full-time",35000,"CAD operator",4,1,"Medium-Sized","United States","Single","0",0,4,3,3,3,3,1,2,2,4,3,4,4,3,4,4,3,3,4,3,3,4,2,5,5,2,2,4,3,4,3,4,4,2,3,3,3,2,4,3,4,2,3,3,1,2,"yes","yes",3.2,3.13333333333333,3.3,2.2
"2565",55,"Male","Yes Kids","ltuni","full-time",87500,"Plant Engineering Supervisor",17,0,"Small City","United States","Widowed","1",1,4,5,5,5,5,2,2,5,3,4,4,5,2,2,3,1,2,1,4,5,4,1,2,4,4,4,4,3,5,1,3,4,1,2,2,5,4,2,5,4,4,2,2,5,1,"yes","yes",4.8,3,3.2,2.8
"2566",16.5,"Female","No Kids","ltuni","student",10000,"clerk",0,6,"Village","United States","Single","0",0,3,3,3,3,3,2,2,3,2,2,3,2,3,2,3,4,3,3,2,3,4,2,4,4,4,2,4,4,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,"yes","yes",3,2.6,3.15,3.8
"2567",55,"Female","Yes Kids","deg","full-time",45000,"Computer Programmer",6,0,"Small City","United States","Married","0",1,3,3,2,1,5,1,1,1,3,3,1,2,4,4,5,2,1,3,2,3,5,2,3,3,2,1,4,3,4,1,3,4,3,1,4,1,2,5,4,5,3,4,5,5,4,"yes","no",2.8,2.4,3,4.2
"2568",55,"Male","No Kids","ma","unemployed",45000,"Teacher",8,0,"Medium-Sized","United States","Single","0",0,2,3,1,1,1,2,1,3,2,2,2,2,2,1,2,2,2,3,1,2,2,1,2,3,1,2,2,2,3,1,1,3,3,2,2,1,1,3,2,3,1,2,3,4,2,"no","yes",1.6,1.93333333333333,2,2.4
"2569",45,"Female","No Kids","deg","full-time",87500,"Insurance Claims Supervisor",1,1,"Large-City","United States","Single","0",0,5,4,3,3,3,2,2,5,3,3,4,3,2,2,4,5,3,2,2,3,3,4,3,5,5,2,3,2,4,4,3,4,3,3,3,4,3,4,4,5,1,2,1,3,1,"yes","no",3.6,3,3.55,1.6
"2570",45,"Female","Yes Kids","phd","full-time",67500,"Professor",9,8,"Large-City","United States","Married","0",0,3,2,4,3,3,2,2,2,4,3,3,3,4,2,4,4,3,5,2,4,4,3,3,4,3,3,4,4,3,3,3,4,4,3,4,4,4,3,4,3,4,4,4,5,4,"yes","no",3,3.13333333333333,3.5,4.2
"2572",32.5,"Female","No Kids","deg","unemployed",10000," houswife",5,6,"Medium-Sized","United States","Married","0",0,4,2,3,3,3,1,1,3,2,3,1,2,3,2,5,2,4,2,4,3,5,2,1,2,3,5,4,4,4,2,3,5,2,2,4,1,1,4,4,4,5,5,4,4,4,"yes","no",3,2.53333333333333,3.1,4.4
"2573",45,"Female","No Kids","phd","full-time",87500,"Doctor; Physician",5,0,"Medium-Sized","United States","Single","0",0,3,2,3,3,3,1,3,4,5,3,4,5,4,3,4,2,5,2,5,4,3,2,3,3,3,3,2,3,3,2,4,4,1,3,4,3,3,4,4,4,3,3,3,4,3,"yes","yes",2.8,3.6,3.05,3.2
"2574",32.5,"Female","No Kids","ma","full-time",150000,"manager",9,0,"Rural/Country","United States","Married","0",0,4,3,4,3,3,1,1,5,3,3,4,4,4,3,4,2,4,2,3,3,4,1,2,4,2,3,4,4,4,2,3,4,1,3,4,2,1,5,4,5,3,3,4,4,4,"yes","yes",3.4,3.06666666666667,3.1,3.6
"2575",55,"Female","Yes Kids","deg","full-time",25000,"Library technician",1,4,"Medium-Sized","United States","Divorced","0",1,4,4,4,3,3,1,1,4,3,4,3,3,4,3,4,3,3,4,3,4,4,3,3,4,3,4,3,4,3,2,4,3,2,3,4,4,4,4,3,4,3,3,4,4,4,"yes","yes",3.6,3.13333333333333,3.4,3.6
"2576",55,"Female","No Kids","ma","full-time",150000,"engineer",12,0,"Medium-Sized","United States","Married","0",0,3,2,3,2,2,1,2,4,3,3,2,2,2,2,3,3,3,3,2,2,3,3,2,2,2,3,2,4,3,4,3,4,1,2,2,3,2,3,3,2,3,3,3,4,3,"no","no",2.4,2.46666666666667,2.65,3.2
"2577",55,"Female","No Kids","phd","full-time",35000,"IT Consultant",4,0,"Large-City","United States","Divorced","0",0,5,4,3,3,4,4,3,4,4,4,4,4,5,4,4,2,4,3,4,4,4,2,4,5,4,4,4,4,4,5,5,5,5,3,4,2,3,3,3,2,3,3,2,2,2,"yes","yes",3.8,3.8,3.75,2.4
"2578",37.5,"Female","No Kids","phd","full-time",45000,"Professor",9,0,"Medium-Sized","United States","Single","0",0,4,4,4,2,2,1,3,2,4,4,4,3,3,2,4,5,3,5,5,4,4,1,4,1,4,3,3,5,2,4,2,4,3,3,2,3,3,5,3,3,4,5,5,5,2,"yes","yes",3.2,3.46666666666667,3.1,4.2
"2579",55,"Male","No Kids","deg","full-time",87500," consultant",1,6,"Large-City","United States","Married","0",0,3,2,2,2,2,1,1,3,3,3,3,3,3,1,3,2,2,3,1,3,3,1,2,3,1,2,3,2,3,2,2,3,1,2,3,3,2,3,1,2,3,3,3,1,1,"yes","no",2.2,2.33333333333333,2.2,2.2
"2580",25,"Female","No Kids","ltuni","student",10000,"Customer Service",1,3,"Medium-Sized","United States","Single","0",0,5,5,3,3,3,3,5,5,5,1,2,5,5,5,5,2,5,3,5,5,5,3,2,5,5,5,4,3,5,5,5,5,4,4,5,4,4,5,5,5,3,4,3,2,2,"yes","yes",3.8,4.06666666666667,4.4,2.8
"2581",67.5,"Male","Yes Kids","ltuni","part-time",15000,"chauffeur",17,0,"Rural/Country","United States","Married","1",3,3,5,4,3,4,2,1,5,1,4,2,2,2,2,4,5,1,4,1,5,4,3,3,2,2,2,4,5,4,1,4,4,4,3,4,5,3,5,5,5,1,1,1,4,2,"yes","yes",3.8,2.73333333333333,3.6,1.8
"2582",55,"Male","Yes Kids","ltuni","full-time",150000,"Corporation President",28,0,"Small City","United States","Married","1",1,2,2,1,1,1,1,4,2,5,3,5,3,3,2,4,2,4,2,5,3,3,1,1,1,3,1,3,2,5,5,5,4,4,2,2,4,1,5,4,3,5,4,4,5,5,"yes","yes",1.4,3.2,2.95,4.6
"2583",28,"Female","No Kids","deg","full-time",67500,"IT Consultant",4,0,"Medium-Sized","United States","Married","0",0,4,4,4,3,3,3,3,4,3,3,2,3,2,3,3,4,4,4,3,3,4,3,3,4,4,4,4,4,4,2,3,4,4,5,4,4,4,3,3,4,4,4,4,4,3,"yes","yes",3.6,3.13333333333333,3.7,3.8
"2584",32.5,"Female","No Kids","ma","full-time",67500,"IT Consultant",1,10,"Small Town","United States","Single","0",0,3,2,3,2,2,1,1,4,1,2,1,2,4,3,2,3,4,4,1,2,3,2,2,3,3,2,2,3,5,1,2,5,2,2,3,3,3,3,3,4,3,3,3,3,3,"yes","no",2.4,2.33333333333333,2.8,3
"2585",67.5,"Female","Yes Kids","phd","full-time",67500,"academic/career coach & admin assistant",3,0,"Small City","United States","Married","1",1,3,3,2,2,2,1,3,2,3,2,4,1,3,2,3,4,3,3,4,4,4,3,3,2,2,2,3,3,4,3,2,4,3,2,2,1,1,2,3,2,3,3,3,3,3,"yes","no",2.4,2.8,2.55,3
"2586",55,"Female","No Kids","phd","full-time",87500," specialist",2,10,"Large Town","United States","","0",0,3,3,3,3,3,1,1,5,3,2,3,2,4,2,5,3,3,3,2,4,4,2,3,3,4,3,2,3,5,2,2,4,4,2,4,2,4,5,4,4,3,2,3,1,1,"yes","no",3,2.86666666666667,3.3,2
"2587",55,"Female","No Kids","ma","unemployed",87500,"Unemployed",0,0,"Large-City","United States","Single","0",0,3,2,3,3,3,5,1,3,4,3,2,3,3,3,4,3,2,2,3,2,2,1,1,3,5,3,3,2,3,2,4,4,5,3,4,1,3,3,4,2,2,2,3,2,1,"yes","no",2.8,2.86666666666667,2.9,2
"2588",45,"Female","Yes Kids","phd","full-time",67500,"Professor",10,7,"Large Town","United States","Married","1",0,3,2,1,1,1,2,2,2,3,3,4,3,4,4,4,1,2,2,3,4,5,2,1,1,2,5,4,2,5,1,1,4,3,3,4,3,2,5,4,4,3,3,4,5,5,"yes","yes",1.6,2.86666666666667,3.05,4
"2589",45,"Female","Yes Kids","deg","full-time",87500,"Software Engineer",6,7,"Large Town","United States","Divorced","1",1,2,3,3,1,1,1,1,4,3,2,3,3,4,2,5,3,1,2,1,3,4,1,4,4,4,1,4,4,4,2,2,4,5,4,5,5,5,4,5,4,4,4,4,4,3,"yes","yes",2,2.53333333333333,3.75,3.8
"2590",67.5,"Male","Yes Kids","phd","full-time",87500,"psychologis",30,0,"Medium-Sized","United States","Married","1",1,3,3,2,1,1,1,2,2,3,2,2,3,2,2,3,4,3,2,1,2,4,2,2,2,1,2,2,2,3,2,4,3,2,2,2,3,2,3,2,2,3,3,3,4,3,"no","no",2,2.26666666666667,2.35,3.2
"2591",32.5,"Female","No Kids","deg","full-time",67500,"Project Manager",2,0,"Medium-Sized","United States","Single","0",0,3,4,2,1,1,1,1,2,1,2,3,2,2,1,1,3,1,2,1,1,3,1,2,1,3,3,3,2,3,1,3,1,1,3,2,4,3,2,2,3,4,4,4,4,3,"yes","no",2.2,1.6,2.3,3.8
"2592",45,"Female","No Kids","ltuni","full-time",67500,"Market Analyst",10,0,"Large-City","United States","Single","0",0,4,4,4,4,4,2,1,3,4,4,3,3,3,4,4,3,2,2,2,4,3,2,2,2,2,3,4,3,3,2,2,3,3,2,4,4,3,4,3,4,1,2,1,1,1,"yes","no",4,2.93333333333333,2.9,1.2
"2593",55,"Male","Yes Kids","deg","full-time",67500,"manager",1,10,"Medium-Sized","United States","Divorced","0",1,4,4,3,2,2,1,1,5,3,3,1,1,3,3,4,2,2,2,2,2,4,1,4,2,3,2,4,3,4,1,2,4,2,3,3,1,2,5,4,4,3,4,3,4,2,"yes","no",3,2.33333333333333,2.9,3.2
"2594",37.5,"Female","No Kids","deg","full-time",87500,"Software Pro",0,2,"Small City","United States","Married","0",0,2,3,3,1,1,1,1,2,2,2,1,3,3,3,2,3,2,3,2,1,2,1,2,2,2,2,2,3,2,3,2,3,1,2,2,3,2,3,3,3,5,5,5,5,5,"yes","yes",2,2.06666666666667,2.25,5
"2595",37.5,"Female","No Kids","ma","part-time",35000,"Proofreader",5,0,"Large-City","United States","Single","0",0,4,3,3,3,3,3,2,5,4,3,4,3,5,4,5,4,3,4,2,4,3,3,3,4,1,2,2,3,4,3,2,5,3,3,5,5,5,5,5,5,3,2,2,1,2,"yes","no",3.2,3.66666666666667,3.55,2
"2596",32.5,"Male","No Kids","phd","full-time",150000,"Attorney",7,7,"Large-City","United States","Married","0",0,2,3,2,2,2,1,1,1,3,2,4,3,3,1,3,2,3,4,1,3,4,1,2,4,3,2,3,2,3,1,4,2,1,4,4,5,4,3,4,1,3,3,2,3,1,"yes","yes",2.2,2.33333333333333,2.85,2.4
"2597",55,"Male","Yes Kids","phd","full-time",87500,"psychologis",28,0,"Small City","United States","Married","1",1,4,2,1,2,2,2,2,2,4,4,4,4,4,1,4,3,5,1,2,3,3,3,4,3,1,1,4,3,4,5,5,5,2,2,3,4,2,2,2,4,4,4,4,4,4,"yes","no",2.2,3,3.1,4
"2598",55,"Female","Yes Kids","ma","full-time",67500,"Professor",9,0,"Medium-Sized","United States","Divorced","1",0,4,4,4,3,3,2,5,4,5,5,5,5,5,3,5,4,5,3,5,5,5,3,4,5,3,1,2,4,4,5,5,5,4,4,5,5,5,4,5,5,3,3,4,3,3,"yes","yes",3.6,4.4,4.15,3.2
"2599",28,"Female","No Kids","deg","full-time",45000,"IT Consultant",2,0,"Medium-Sized","United States","Married","0",0,4,3,3,4,3,1,3,2,5,4,4,3,4,5,5,2,5,3,4,4,4,2,3,2,2,3,4,4,4,3,3,5,3,1,4,3,3,4,4,3,2,3,3,4,4,"yes","yes",3.4,3.6,3.2,3.2
"2600",32.5,"Female","Yes Kids","dip","full-time",87500,"Project Manager",1,6,"Small City","United States","Married","0",1,3,4,2,2,2,1,1,2,3,4,4,2,3,1,2,3,1,4,3,4,4,2,2,5,1,3,3,3,3,1,2,3,1,4,4,4,4,4,4,4,3,2,2,2,3,"yes","yes",2.6,2.53333333333333,3.05,2.4
"2602",55,"Male","Yes Kids","deg","full-time",87500,"Business",17,0,"Large-City","United States","Married","0",1,4,4,2,3,3,1,1,3,2,5,4,4,5,5,5,2,2,2,2,5,5,3,1,5,3,2,4,3,5,1,3,5,2,3,5,3,5,5,5,4,2,3,2,2,2,"yes","yes",3.2,3.2,3.6,2.2
"2603",37.5,"Female","No Kids","phd","full-time",67500,"Attorney",5,0,"Large-City","United States","Single","0",0,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,4,5,1,3,5,4,5,5,5,5,1,4,5,5,5,5,5,5,3,3,2,4,3,"yes","yes",1.8,4.73333333333333,4,3
"2604",32.5,"Male","No Kids","deg","full-time",67500,"IT Consultant",10,8,"Large-City","United States","Single","0",0,3,1,1,1,1,2,1,2,2,4,1,3,4,1,1,3,2,3,1,3,3,1,5,5,1,1,3,2,3,4,2,4,3,3,4,5,4,3,4,4,3,4,4,3,3,"yes","yes",1.4,2.2,3.2,3.4
"2605",20,"Female","No Kids","ltuni","student",10000,"clerk",0,2,"Large-City","United States","Separated","0",0,3,4,3,3,3,2,4,3,3,4,3,4,4,3,3,5,5,4,4,4,1,2,2,5,4,5,5,4,4,2,5,3,2,4,4,2,4,5,2,4,2,2,1,3,2,"yes","yes",3.2,3.66666666666667,3.45,2
"2606",37.5,"Female","Yes Kids","phd","full-time",150000,"President",0,10,"Medium-Sized","United States","Married","0",0,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,2,5,2,3,3,2,2,1,4,2,2,2,1,1,2,3,2,2,2,5,3,2,2,2,4,4,4,4,2,"no","no",1.2,1.8,2.25,3.6
"2608",55,"Male","Yes Kids","ma","full-time",87500,"Corporate Trainer",3,6,"Medium-Sized","United States","Married","0",1,2,2,2,3,3,1,1,3,3,3,1,2,2,1,3,1,2,2,2,3,3,1,1,1,1,1,1,2,1,1,1,3,1,2,2,2,1,2,2,2,3,4,4,4,3,"yes","no",2.4,2,1.55,3.6
"2609",28,"Female","Yes Kids","deg","full-time",35000,"",7,0,"Small Town","United States","Divorced","1",1,4,1,4,1,1,1,1,5,5,1,3,5,5,1,5,1,5,1,5,4,5,1,3,4,1,1,4,5,4,4,5,4,1,1,4,4,4,3,5,1,5,5,5,5,5,"yes","yes",2.2,3.2,3.2,5
"2610",32.5,"Female","No Kids","ltuni","full-time",25000,"",1,0,"Village","United States","Single","0",0,3,3,3,2,2,2,1,1,1,2,1,3,3,2,2,4,2,3,1,5,4,4,1,4,1,1,3,3,5,1,3,3,3,3,4,4,5,3,3,2,3,3,3,3,3,"yes","yes",2.6,2.2,3,3
