"","ResidntCntry","Age","Gender","Kids","Edu","WorkStatus","AnnualIncome","Occupation","DurationYear","DurationMon","CommSize","MaritlStatus","NoOfSons","NoOfDghtrs","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfProcast","OtherProcast","DPMean","AIPMean","GPMean","SWLSMean","HDI","category"
"2150","United States",20,"Female","No Kids","ltuni","student",NA,"0",0,0,"Large-City","Single","0",0,4,4,4,3,3,1,1,4,3,2,3,4,3,2,3,1,2,3,2,1,3,2,2,5,3,4,3,4,4,3,4,4,4,4,3,3,3,3,4,3,5,5,5,5,3,"yes","no",3.6,2.33333333333333,3.4,4.6,0.92,"High human development index"
"2151","United States",45,"Female","Yes Kids","ltuni","full-time",25000," teacher",0,6,"Small City","Divorced","0",3,2,3,5,3,2,3,4,4,5,3,3,3,4,3,5,4,4,5,5,3,4,3,4,5,5,5,5,2,5,2,4,4,5,5,5,2,1,1,3,5,1,1,1,3,1,"yes","yes",3,3.86666666666667,3.75,1.4,0.92,"High human development index"
"2152","United States",16.5,"Female","No Kids","ltuni","student",150000,"0",0,0,"Small City","Single","0",0,3,2,2,2,2,1,1,1,2,1,4,2,3,1,1,1,1,2,1,1,1,1,2,2,3,3,1,4,3,2,3,3,2,2,2,2,2,1,2,1,3,4,3,4,4,"yes","yes",2.2,1.53333333333333,2.1,3.6,0.92,"High human development index"
"2153","United States",24,"Female","No Kids","ma","student",15000,"please specify",1,9,"Medium-Sized","Single","0",0,2,3,3,1,1,1,3,1,4,3,4,3,4,2,5,3,3,2,2,3,5,2,2,1,2,3,4,3,5,1,2,4,3,3,5,3,4,5,3,4,5,4,4,5,2,"yes","yes",2,2.86666666666667,3.2,4,0.92,"High human development index"
"2154","United States",25,"Female","No Kids","ma","student",15000,"please specify",1,0,"Large-City","Married","0",0,3,3,4,2,2,1,1,4,3,1,2,2,2,2,3,4,2,3,2,2,3,3,2,4,3,4,3,4,3,2,3,4,4,3,3,4,3,4,3,3,4,4,4,4,3,"yes","no",2.8,2.26666666666667,3.25,3.8,0.92,"High human development index"
"2155","United States",37.5,"Female","No Kids","phd","full-time",87500,"Research Scientist",17,0,"Large-City","Married","0",0,4,3,2,2,2,1,1,5,1,5,5,5,3,3,4,5,2,5,1,3,4,3,3,1,5,4,5,3,5,1,3,5,4,4,4,4,4,4,4,3,4,4,4,4,2,"yes","yes",2.6,3.26666666666667,3.65,3.6,0.92,"High human development index"
"2156","United States",20,"Female","No Kids","ltuni","part-time",10000,"Recreational Staff",3,5,"Small Town","Single","0",0,3,2,3,3,3,3,1,1,1,1,1,1,2,1,1,2,1,3,1,3,2,1,1,3,3,2,2,4,2,1,4,3,4,4,4,3,3,3,3,2,2,4,3,5,4,"yes","no",2.8,1.53333333333333,2.7,3.6,0.92,"High human development index"
"2157","United States",22,"Female","Yes Kids","ltuni","student",10000,"please specify",0,0,"Large-City","Single","0",2,2,3,3,2,3,2,3,5,4,3,1,5,4,3,3,5,4,5,2,5,4,2,2,4,4,4,3,3,3,2,3,3,4,5,3,5,5,4,3,2,4,3,4,4,3,"yes","yes",2.6,3.6,3.4,3.6,0.92,"High human development index"
"2158","United States",22,"Female","No Kids","ltuni","full-time",10000,"Organic Grocery Store Cashier/shift lead",0,11,"Medium-Sized","Single","0",0,4,4,4,4,4,3,4,5,4,4,5,5,4,2,4,4,4,4,4,4,4,2,1,3,3,4,3,4,3,3,5,4,2,3,4,2,1,4,4,3,3,1,2,2,2,"yes","yes",4,4,3.1,2,0.92,"High human development index"
"2159","United States",22,"Female","Yes Kids","ltuni","student",NA,"0",0,0,"Large-City","Single","0",2,3,3,1,2,3,3,4,4,3,2,2,2,3,2,2,2,2,4,2,2,2,1,2,2,2,4,2,4,3,2,5,2,3,4,3,3,3,4,2,3,2,2,3,1,1,"yes","yes",2.4,2.6,2.8,1.8,0.92,"High human development index"
"2160","United States",25,"Female","No Kids","dip","full-time",25000,"banker",6,9,"Large Town","Single","0",0,1,2,3,2,2,3,2,2,5,2,2,3,2,3,3,4,4,2,4,3,2,2,3,3,2,4,3,4,3,3,4,3,3,4,2,4,3,4,3,3,4,4,4,4,4,"no","no",2,2.93333333333333,3.1,4,0.92,"High human development index"
"2161","United States",25,"Female","No Kids","dip","full-time",35000,"banker",7,0,"Large-City","Single","0",0,3,4,4,3,4,2,2,3,2,1,2,3,2,5,4,3,2,3,2,3,4,4,3,4,2,3,4,3,2,3,3,2,3,3,2,4,4,3,3,2,4,3,4,2,2,"no","no",3.6,2.6,3.05,3,0.92,"High human development index"
"2162","United States",22,"Female","No Kids","deg","part-time",10000,"IT consultant",0,3,"Medium-Sized","Single","0",0,1,1,1,1,1,1,1,1,2,2,2,3,3,2,3,4,2,2,2,2,2,1,1,2,1,3,1,3,2,1,2,2,1,1,3,4,4,3,3,2,4,4,4,5,4,"yes","yes",1,2.13333333333333,2.1,4.2,0.92,"High human development index"
"2163","United States",16.5,"Male","No Kids","ltuni","student",10000,"Senate Page",0,4,"Medium-Sized","Single","0",0,2,2,3,3,2,5,3,4,4,4,3,3,4,3,3,5,4,5,4,4,3,4,4,3,2,2,3,3,2,2,5,1,3,4,2,3,2,2,2,2,4,4,4,4,4,"yes","no",2.4,3.86666666666667,2.7,4,0.92,"High human development index"
"2164","United States",80,"Female","Yes Kids","ma","retired",35000,"0",0,0,"Small City","Divorced","1",0,3,3,1,3,2,1,1,4,3,1,1,1,2,1,2,1,1,1,1,2,3,2,2,3,2,1,1,3,3,1,4,3,3,2,3,1,1,2,3,4,2,3,3,3,2,"no","no",2.4,1.53333333333333,2.35,2.6,0.92,"High human development index"
"2165","United States",22,"Female","No Kids","ltuni","student",45000,"Online Media Buyer",2,0,"Large Town","Single","0",0,1,2,1,1,1,1,1,1,3,3,1,1,1,1,2,2,2,1,2,3,2,1,1,3,1,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,3,4,5,4,4,"no","no",1.2,1.66666666666667,1.7,4,0.92,"High human development index"
"2166","United States",45,"Male","Yes Kids","phd","full-time",NA,"college professor",7,0,"Small City","Married","1",1,4,3,4,3,2,3,3,5,5,5,2,5,5,5,5,5,1,5,4,4,4,3,3,3,3,3,3,3,4,4,2,4,5,5,4,5,4,3,3,3,3,3,3,3,3,"yes","yes",3.2,4.13333333333333,3.55,3,0.92,"High human development index"
"2167","United States",28,"Female","No Kids","ma","student",25000,"Research Assistant",0,7,"Large-City","Single","0",0,3,3,2,3,3,3,4,4,4,4,3,4,4,3,4,2,5,3,5,5,5,3,4,5,5,1,5,3,5,4,1,5,3,3,5,3,4,4,4,5,4,3,4,4,5,"yes","yes",2.8,3.8,3.85,4,0.92,"High human development index"
"2168","United States",67.5,"Female","No Kids","ma","retired",NA,"Free lance editor and tutor--in theory",1,0,"Large-City","Divorced","0",0,5,5,5,2,2,1,1,3,3,1,1,3,4,1,5,3,3,4,1,3,5,3,2,4,1,5,4,5,5,2,2,5,5,4,5,5,3,5,5,5,4,3,4,4,2,"yes","no",3.8,2.46666666666667,4,3.4,0.92,"High human development index"
"2169","United States",22,"Female","No Kids","ltuni","full-time",15000,"IT Support Engineer",0,5,"Large-City","Single","0",0,4,3,3,2,2,3,3,4,2,3,2,2,4,2,2,3,1,3,1,1,1,3,2,2,3,4,3,3,4,3,2,4,4,3,3,4,3,4,4,3,2,3,2,3,2,"yes","no",2.8,2.4,3.1,2.4,0.92,"High human development index"
"2170","United States",20,"Female","No Kids","ltuni","student",10000,"please specify",17,0,"Large-City","Single","0",0,4,3,4,3,3,1,3,5,3,3,3,4,3,3,3,3,4,3,4,4,4,5,3,4,5,4,4,4,4,5,4,4,1,3,3,5,4,4,4,4,4,4,4,4,3,"yes","yes",3.4,3.26666666666667,3.9,3.8,0.92,"High human development index"
"2171","United States",19,"Female","No Kids","ltuni","part-time",10000,"Server",0,4,"Small City","Single","0",0,4,2,2,2,2,2,1,1,1,2,2,5,4,2,3,4,1,3,2,5,4,3,2,5,3,5,4,2,5,2,2,4,5,4,5,4,5,3,3,3,5,5,5,5,5,"yes","yes",2.4,2.53333333333333,3.65,5,0.92,"High human development index"
"2172","United States",23,"Male","No Kids","ltuni","full-time",15000,"instructor / coach",6,3,"Medium-Sized","Single","0",0,4,4,4,3,2,2,1,1,2,3,2,3,2,3,3,3,2,1,2,3,3,1,2,2,2,1,3,2,3,2,3,3,2,4,3,3,2,2,3,3,3,3,3,2,1,"no","yes",3.4,2.2,2.45,2.4,0.92,"High human development index"
"2173","United States",23,"Male","No Kids","deg","student",35000,"0",1,6,"Large-City","Single","0",0,3,4,5,3,3,2,2,5,3,2,3,4,3,2,3,4,3,3,3,3,4,2,4,4,3,3,4,4,4,4,4,4,2,3,5,4,3,4,4,5,4,4,3,4,4,"yes","no",3.6,3,3.7,3.8,0.92,"High human development index"
"2174","United States",55,"Female","Yes Kids","ma","full-time",45000,"land use planner",28,0,"Large-City","Married","0",2,4,4,4,3,2,1,2,5,5,3,4,4,4,3,4,4,3,2,3,3,4,1,4,5,4,3,4,4,4,3,4,4,1,2,3,5,3,4,4,4,2,3,3,3,2,"yes","yes",3.4,3.33333333333333,3.5,2.6,0.92,"High human development index"
"2175","United States",16.5,"Female","No Kids","high","student",10000,"please specify",0,0,"Large-City","Single","0",0,3,3,4,4,4,2,2,2,2,3,2,2,3,2,2,2,2,2,4,3,4,2,2,5,3,3,3,4,4,2,3,4,2,3,4,4,3,4,3,3,3,4,3,4,3,"yes","no",3.6,2.33333333333333,3.25,3.4,0.92,"High human development index"
"2176","United States",55,"Female","No Kids","ma","full-time",67500,"0",23,0,"Large Town","Single","0",0,3,3,3,2,2,1,3,3,5,2,1,4,3,2,3,2,4,2,4,3,5,1,2,5,1,2,3,4,5,4,5,4,1,2,3,4,4,5,5,5,4,4,4,3,3,"yes","yes",2.6,2.8,3.5,3.6,0.92,"High human development index"
"2177","United States",21,"Female","No Kids","ltuni","student",10000,"0",0,0,"Large-City","Divorced","0",0,3,3,1,1,1,1,1,4,2,2,1,3,3,2,4,2,2,2,1,1,3,1,2,3,3,2,3,2,4,2,4,3,1,2,4,5,2,4,4,3,3,4,4,3,3,"yes","yes",1.8,2.06666666666667,2.85,3.4,0.92,"High human development index"
"2178","United States",21,"Female","No Kids","ltuni","student",10000,"Retail",1,6,"Small City","Single","0",0,2,4,3,2,2,1,1,4,1,2,1,5,5,3,1,5,2,5,2,1,4,1,3,1,3,3,4,3,5,1,1,5,1,3,5,2,1,4,5,5,3,3,4,4,5,"yes","yes",2.6,2.6,3,3.8,0.92,"High human development index"
"2179","United States",21,"Female","No Kids","ltuni","part-time",10000,"0",2,0,"Medium-Sized","Single","0",0,2,1,3,1,1,1,1,2,2,1,1,2,3,1,5,4,2,5,1,2,3,3,1,5,5,2,3,3,3,2,2,4,2,5,1,3,3,3,3,2,5,5,5,5,5,"yes","yes",1.6,2.2,2.9,5,0.92,"High human development index"
"2180","United States",22,"Male","No Kids","deg","full-time",55000,"Contsuruction Management",3,0,"Small Town","Single","0",0,1,1,1,1,1,5,5,5,1,1,1,2,3,3,4,5,5,4,3,3,3,3,3,3,2,4,3,3,3,2,5,1,5,5,5,3,3,3,3,3,4,4,4,4,3,"no","no",1,3.33333333333333,3.25,3.8,0.92,"High human development index"
"2181","United States",21,"Female","No Kids","ltuni","part-time",15000,"Bartender",1,0,"Large-City","Single","0",0,3,2,2,2,2,2,1,3,2,2,2,3,3,1,4,4,2,3,1,2,4,2,2,1,4,3,1,3,3,3,3,3,3,4,3,4,3,2,4,3,3,4,4,5,4,"yes","yes",2.2,2.33333333333333,2.9,4,0.92,"High human development index"
"2182","United States",28,"Female","No Kids","dip","part-time",NA,"full time student and part time bartende",6,0,"Large-City","Single","0",0,2,3,1,1,1,1,1,3,4,1,2,2,1,1,2,2,2,2,1,1,2,1,2,5,3,1,1,2,2,1,4,3,1,2,2,3,2,3,2,3,5,5,5,5,5,"yes","no",1.6,1.73333333333333,2.25,5,0.92,"High human development index"
"2183","United States",25,"Female","No Kids","ma","student",15000,"please specify",2,0,"Small City","Single","0",0,4,4,4,3,3,2,1,2,3,3,3,3,3,2,4,4,2,3,2,1,4,3,2,5,3,2,3,4,5,1,3,4,2,3,3,3,4,3,4,4,3,3,3,3,4,"yes","yes",3.6,2.53333333333333,3.25,3.2,0.92,"High human development index"
"2184","United States",23,"Female","No Kids","ma","student",10000,"0",0,6,"Medium-Sized","Single","0",0,2,3,4,3,3,2,1,2,3,4,1,5,3,5,4,1,2,2,2,4,3,2,3,2,4,3,4,4,3,1,2,3,2,2,5,3,3,2,4,3,4,5,5,1,4,"yes","yes",3,2.73333333333333,2.9,3.8,0.92,"High human development index"
"2185","United States",22,"Female","No Kids","ltuni","part-time",10000,"Sales/ daycare worker",1,0,"Large-City","Single","0",0,4,4,4,3,3,3,4,5,4,3,5,1,2,5,4,5,5,5,2,4,4,1,4,2,5,5,4,4,5,1,3,4,3,5,3,4,4,4,5,4,4,4,4,4,4,"yes","no",3.6,3.8,3.7,4,0.92,"High human development index"
"2186","United States",55,"Female","Yes Kids","dip","student",45000,"education",2,0,"Medium-Sized","Married","3",2,5,5,4,2,2,2,2,5,5,2,3,4,1,1,5,3,4,5,5,3,5,3,1,3,4,4,3,2,4,3,5,3,5,5,3,4,4,4,5,5,4,4,4,4,4,"yes","yes",3.6,3.33333333333333,3.75,4,0.92,"High human development index"
"2187","United States",45,"Female","Yes Kids","deg","unemployed",10000,"0",5,0,"Medium-Sized","Married","0",0,4,5,4,4,4,3,3,2,5,2,1,2,3,2,4,2,5,2,3,4,3,4,2,4,3,1,3,3,4,4,4,5,2,2,4,2,3,5,5,5,3,2,3,2,3,"yes","yes",4.2,2.86666666666667,3.4,2.6,0.92,"High human development index"
"2188","United States",21,"Male","No Kids","ltuni","full-time",15000,"CAD Technician",2,2,"Large Town","Single","0",0,3,3,4,2,2,1,1,1,3,2,1,2,2,5,4,4,4,4,1,1,3,1,3,3,4,2,1,1,4,1,2,4,2,2,2,3,3,3,3,4,4,3,2,2,5,"yes","no",2.8,2.4,2.55,3.2,0.92,"High human development index"
"2189","United States",25,"Female","No Kids","deg","full-time",25000,"Internship",1,7,"Small City","Single","0",0,4,3,2,1,1,1,2,5,2,2,2,1,4,1,2,2,3,2,1,1,2,1,1,3,1,1,1,2,2,2,2,3,1,3,4,3,2,2,2,3,4,5,5,4,4,"yes","no",2.2,2.06666666666667,2.05,4.4,0.92,"High human development index"
"2190","United States",20,"Female","No Kids","ltuni","student",NA,"0",0,0,"Large-City","Single","0",0,4,4,4,3,4,3,3,2,3,3,3,4,3,3,3,4,4,4,4,4,4,2,4,5,4,4,4,5,3,4,5,4,4,4,4,2,2,4,4,4,3,2,3,3,2,"yes","yes",3.8,3.33333333333333,3.8,2.6,0.92,"High human development index"
"2191","United States",32.5,"Female","Yes Kids","dip","full-time",15000,"Paraprofessional",1,6,"Medium-Sized","Divorced","0",3,4,4,4,3,3,3,1,3,2,3,4,2,3,3,3,3,1,4,1,3,4,1,2,2,4,3,3,4,4,2,2,3,3,3,3,3,3,3,4,2,1,1,1,3,1,"yes","no",3.6,2.6,2.9,1.4,0.92,"High human development index"
"2192","United States",67.5,"Male","Yes Kids","deg","part-time",45000,"Vetrans Representative",1,9,"Small City","Married","1",3,1,1,1,1,1,1,1,5,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,5,1,2,1,1,3,5,1,2,1,2,4,4,4,4,3,"no","no",1,1.4,1.75,3.8,0.92,"High human development index"
"2193","United States",37.5,"Female","No Kids","phd","full-time",150000,"Researcher - Physician",9,0,"Large-City","Single","0",0,5,4,4,3,3,2,3,3,3,3,4,4,5,4,4,4,5,2,4,3,4,3,2,5,2,2,4,4,4,4,5,4,2,2,5,5,4,4,5,5,3,5,4,3,3,"yes","yes",3.8,3.53333333333333,3.75,3.6,0.92,"High human development index"
"2194","United States",55,"Female","Yes Kids","deg","full-time",35000,"0",30,4,"Medium-Sized","Divorced","0",1,3,2,2,2,2,4,1,3,2,3,2,3,2,2,3,3,2,3,2,5,3,2,2,2,3,4,3,2,3,1,5,3,3,4,3,2,3,3,3,4,5,4,5,5,5,"yes","yes",2.2,2.66666666666667,2.9,4.8,0.92,"High human development index"
"2195","United States",45,"Male","No Kids","deg","full-time",25000,"Paraprofessional",12,8,"Medium-Sized","Single","0",0,4,4,4,4,4,4,3,5,4,5,1,5,5,4,4,4,4,1,5,4,4,4,4,5,4,4,4,3,4,4,4,4,4,5,4,4,3,4,2,4,2,3,4,2,2,"yes","yes",4,3.86666666666667,3.9,2.6,0.92,"High human development index"
"2196","United States",23,"Female","No Kids","ltuni","student",10000,"Server",2,0,"Small City","Single","0",0,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,3,5,2,5,5,5,2,1,3,1,3,5,4,5,2,3,5,2,3,4,1,3,2,5,4,3,4,4,4,3,"yes","yes",4.4,4.46666666666667,3.15,3.6,0.92,"High human development index"
"2197","United States",22,"Female","No Kids","deg","full-time",67500,"Environmental Engineer",0,4,"Small City","Single","0",0,2,4,3,3,3,1,1,3,1,1,3,1,1,1,1,3,1,4,1,3,4,2,3,3,4,3,4,3,3,1,3,4,1,2,1,4,2,3,4,4,4,4,2,2,4,"no","no",3,1.73333333333333,2.9,3.2,0.92,"High human development index"
"2198","United States",20,"Female","No Kids","ltuni","student",NA,"0",0,0,"Large-City","Single","0",0,4,3,4,3,3,1,3,5,5,3,3,5,4,3,5,3,5,5,4,5,5,3,3,5,4,4,4,3,5,4,3,5,3,4,5,5,3,5,5,4,3,3,3,3,4,"yes","yes",3.4,3.93333333333333,4.1,3.2,0.92,"High human development index"
"2199","United States",23,"Female","No Kids","ltuni","student",NA,"Internship",0,4,"Large-City","Married","0",0,3,4,4,3,3,5,1,1,2,3,5,3,3,3,5,2,3,4,2,3,3,5,3,4,5,5,3,4,4,1,2,4,4,4,4,4,4,4,5,4,3,3,3,3,2,"yes","yes",3.4,3,3.8,2.8,0.92,"High human development index"
"2200","United States",45,"Female","Yes Kids","deg","part-time",10000,"Writer / web designer/ web-master",14,0,"Large-City","Married","0",3,4,4,3,3,3,2,3,5,5,4,4,5,3,4,5,4,5,3,4,5,4,5,4,2,4,4,4,4,4,4,5,5,3,4,5,5,4,5,5,5,2,2,1,3,1,"yes","yes",3.4,4.06666666666667,4.25,1.8,0.92,"High human development index"
"2201","United States",23,"Female","No Kids","ltuni","student",15000,"manager",2,0,"Small Town","Single","0",0,2,3,2,2,2,3,4,4,4,3,2,4,3,3,3,4,4,4,4,3,3,3,3,4,3,3,3,2,4,3,4,3,3,3,3,3,3,4,4,3,3,4,4,4,3,"yes","yes",2.2,3.46666666666667,3.2,3.6,0.92,"High human development index"
"2202","United States",32.5,"Female","No Kids","deg","full-time",45000," teacher",5,0,"Small City","Single","0",0,2,3,3,2,2,1,4,5,4,3,4,5,3,3,3,3,5,2,5,2,3,1,4,1,2,3,2,3,3,2,2,3,2,4,4,4,3,4,4,4,3,3,3,3,2,"yes","yes",2.4,3.46666666666667,2.9,2.8,0.92,"High human development index"
"2203","United States",22,"Female","No Kids","ltuni","part-time",10000,"hostess",0,2,"Large-City","Single","0",0,5,4,5,5,5,5,3,5,4,4,1,4,5,4,5,2,3,5,3,5,5,3,4,4,5,4,5,3,5,5,3,4,3,3,4,5,5,1,5,5,1,1,4,3,3,"yes","yes",4.8,3.86666666666667,4.05,2.4,0.92,"High human development index"
"2204","United States",24,"Female","No Kids","ltuni","full-time",45000,"business manager",3,0,"Small Town","Single","0",0,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,2,1,2,2,4,2,2,4,5,5,5,4,"no","no",2,1.13333333333333,1.6,4.6,0.92,"High human development index"
"2205","United States",20,"Male","No Kids","ltuni","student",10000,"Mover",0,6,"Large-City","Single","0",0,5,4,4,4,4,1,4,5,5,1,1,3,5,3,4,5,5,5,4,5,1,4,5,5,4,2,4,4,5,5,5,4,4,4,5,4,4,4,5,4,3,4,4,4,4,"yes","yes",4.2,3.73333333333333,4.1,3.8,0.92,"High human development index"
"2206","United States",25,"Female","No Kids","ma","full-time",45000,"Librarian",3,0,"Large-City","Married","0",0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,4,5,5,5,5,5,"no","no",1.4,1.06666666666667,1.45,5,0.92,"High human development index"
"2207","United States",19,"Female","No Kids","ltuni","student",10000,"Library Assistant",0,7,"Small Town","Single","0",0,2,3,2,1,1,1,2,4,3,2,1,3,4,2,3,3,2,4,2,2,3,2,2,4,3,2,2,2,3,3,3,4,2,2,3,4,2,4,3,2,4,4,3,4,4,"yes","yes",1.8,2.53333333333333,2.75,3.8,0.92,"High human development index"
"2208","United States",28,"Female","No Kids","ma","student",25000,"please specify",3,8,"Small City","Single","0",0,2,1,2,1,1,1,1,1,3,4,1,2,3,2,5,1,2,1,2,3,5,2,2,5,4,4,5,2,5,3,4,4,1,4,4,3,2,4,4,4,3,4,3,3,4,"yes","yes",1.4,2.13333333333333,3.55,3.4,0.92,"High human development index"
"2209","United States",22,"Female","No Kids","ltuni","student",10000,"Unemployed",0,3,"Large-City","Single","0",0,5,5,4,4,4,2,2,4,5,4,4,5,5,3,3,4,4,4,3,3,5,3,3,5,4,3,3,4,5,5,2,5,2,4,5,5,4,5,5,4,2,2,3,3,2,"yes","yes",4.4,3.66666666666667,4.05,2.4,0.92,"High human development index"
"2210","United States",45,"Male","Yes Kids","deg","full-time",45000,"Product Field Test Manager",2,0,"Small Town","Divorced","1",1,4,5,3,2,2,3,3,5,5,5,5,4,4,5,5,3,5,3,5,5,5,2,4,2,3,3,3,3,5,4,4,5,3,3,3,4,2,4,3,3,2,2,2,3,3,"yes","yes",3.2,4.33333333333333,3.4,2.4,0.92,"High human development index"
"2211","United States",45,"Female","Yes Kids","deg","full-time",55000," teacher",6,3,"Large Town","Married","1",1,2,2,3,2,2,2,2,3,3,3,3,2,3,3,3,2,3,2,3,2,3,2,3,2,2,2,3,2,2,4,4,3,2,4,4,3,2,3,2,2,3,4,4,4,4,"no","no",2.2,2.6,2.7,3.8,0.92,"High human development index"
"2212","United States",55,"Female","No Kids","dip","full-time",87500,"TV BROADCAST TECHNICIAN",28,0,"Large-City","Single","0",0,4,4,3,3,3,2,3,3,4,4,5,5,4,4,5,3,4,4,4,4,4,3,3,4,3,3,5,3,4,4,5,5,3,4,4,5,3,5,5,4,4,4,3,4,4,"yes","yes",3.4,3.86666666666667,3.95,3.8,0.92,"High human development index"
"2213","United States",22,"Female","No Kids","ltuni","student",15000,"fulltime office assistant",0,10,"Large-City","Single","0",0,4,4,4,4,4,1,4,5,5,3,1,2,3,4,4,1,4,1,4,2,3,2,1,3,1,3,3,2,4,4,3,3,2,2,3,2,2,5,1,5,1,2,2,1,1,"yes","yes",4,2.93333333333333,2.7,1.4,0.92,"High human development index"
"2214","United States",28,"Female","Yes Kids","ma","student",35000,"0",0,0,"Small City","Single","0",0,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,"yes","yes",2,3,2.85,3,0.92,"High human development index"
"2215","United States",37.5,"Male","No Kids","ma","full-time",87500,"0",4,0,"Large-City","Divorced","0",0,4,2,2,2,2,2,3,2,5,5,3,5,5,4,5,3,4,2,2,5,5,3,2,4,1,3,3,4,5,4,5,5,2,4,5,5,2,4,5,3,4,3,4,5,4,"yes","yes",2.4,3.66666666666667,3.7,4,0.92,"High human development index"
"2216","United States",28,"Male","No Kids","ltuni","full-time",25000,"Night Dispatch Supervisor  (it's just a",3,0,"Medium-Sized","Single","0",0,4,4,4,5,5,1,1,3,4,5,2,4,5,4,5,5,3,4,3,5,4,4,4,4,4,5,5,4,4,2,4,4,2,4,4,4,4,5,5,4,1,1,1,1,1,"yes","yes",4.4,3.6,4,1,0.92,"High human development index"
"2217","United States",28,"Female","No Kids","ma","full-time",55000," teacher",1,0,"Large-City","Single","0",0,2,1,1,1,2,1,2,2,3,3,4,4,4,2,2,3,3,3,1,1,4,1,3,2,5,4,3,2,4,4,4,3,2,5,5,5,5,4,4,5,5,5,5,5,5,"yes","yes",1.4,2.53333333333333,3.7,5,0.92,"High human development index"
"2218","United States",45,"Female","Yes Kids","ma","full-time",45000,"Corporate instructor",6,0,"Rural/Country","Divorced","0",2,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,3,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,2,2,2,1,1,1,1,1,1,"no","no",1,1.66666666666667,1.5,1,0.92,"High human development index"
"2219","United States",28,"Male","No Kids","ma","student",15000,"please specify",5,0,"Large Town","Single","0",0,2,1,3,2,2,2,2,5,1,1,1,3,2,1,1,5,2,3,1,1,2,1,1,1,4,3,2,4,3,1,4,3,1,3,3,5,1,3,2,1,5,4,4,5,5,"no","no",2,2.06666666666667,2.4,4.6,0.92,"High human development index"
"2220","United States",55,"Female","Yes Kids","ma","full-time",150000,"President",5,0,"Large-City","Married","1",2,4,4,4,3,3,1,1,1,4,3,4,2,3,2,5,2,3,2,3,3,4,1,2,1,3,3,4,4,4,2,4,5,4,3,4,5,4,5,4,5,4,3,5,4,5,"yes","no",3.6,2.6,3.55,4.2,0.92,"High human development index"
"2221","United States",55,"Female","No Kids","phd","part-time",87500," consultant",0,6,"Large-City","Single","0",0,3,4,3,3,3,2,4,3,4,3,3,3,3,4,3,3,4,4,4,4,4,3,3,2,3,3,3,4,4,3,3,4,2,3,4,3,3,4,4,4,4,3,4,4,3,"yes","yes",3.2,3.4,3.3,3.6,0.92,"High human development index"
"2222","United States",67.5,"Male","No Kids","deg","retired",150000,"Financial Advisor",4,0,"Large Town","Divorced","0",0,2,3,3,2,2,1,1,4,3,2,1,2,2,1,2,3,3,2,2,3,2,2,4,4,1,2,2,3,2,3,4,2,2,3,3,4,4,3,3,4,3,3,4,4,3,"yes","no",2.4,2.13333333333333,2.85,3.4,0.92,"High human development index"
"2223","United States",28,"Female","No Kids","phd","full-time",45000,"Attorney",2,0,"Medium-Sized","Single","0",0,3,3,2,2,2,2,3,2,4,4,3,4,2,1,3,3,3,2,3,4,3,2,2,5,4,3,3,3,4,3,4,4,4,3,3,4,3,5,3,5,3,3,3,5,2,"yes","yes",2.4,2.86666666666667,3.5,3.2,0.92,"High human development index"
"2224","United States",37.5,"Female","Yes Kids","phd","unemployed",NA,"0",0,0,"Medium-Sized","Married","0",3,1,2,1,1,1,2,1,5,3,1,1,3,2,2,2,5,2,4,1,3,3,3,2,2,5,3,3,1,4,1,3,3,4,4,2,4,2,3,3,2,4,4,4,4,4,"yes","yes",1.2,2.46666666666667,2.85,4,0.92,"High human development index"
"2225","United States",55,"Female","Yes Kids","ma","full-time",87500,"Counselor",30,0,"Large-City","Married","1",0,1,1,1,1,1,3,2,5,2,3,3,1,3,2,2,1,2,3,2,2,3,2,1,2,3,3,3,1,4,1,5,1,4,2,4,3,2,2,1,2,3,4,5,5,3,"yes","no",1,2.4,2.45,4,0.92,"High human development index"
